id	url
250	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/fr.svg
254	http://upload.wikimedia.org/wikipedia/commons/2/29/Flag_of_French_Guiana.svg
258	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/pf.svg
260	http://upload.wikimedia.org/wikipedia/commons/a/a7/Flag_of_the_French_Southern_and_Antarctic_Lands.svg
262	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/dj.svg
266	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ga.svg
268	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ge.svg
270	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gm.svg
275	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ps.svg
276	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/de.svg
288	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gh.svg
292	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gi.svg
296	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ki.svg
300	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gr.svg
304	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gl.svg
308	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gd.svg
312	http://upload.wikimedia.org/wikipedia/commons/7/7d/Flag_of_Guadeloupe_(local)_variant.svg
316	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gu.svg
320	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gt.svg
324	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gn.svg
328	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/gy.svg
332	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ht.svg
334	http://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg
336	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/va.svg
340	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/hn.svg
344	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/hk.svg
348	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/hu.svg
352	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/is.svg
356	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/in.svg
360	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/id.svg
364	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ir.svg
368	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/iq.svg
372	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ie.svg
376	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/il.svg
380	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/it.svg
384	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ci.svg
388	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/jm.svg
392	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/jp.svg
398	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/kz.svg
400	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/jo.svg
404	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ke.svg
408	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/kp.svg
410	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/kr.svg
414	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/kw.svg
417	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/kg.svg
418	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/la.svg
422	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/lb.svg
426	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ls.svg
428	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/lv.svg
430	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/lr.svg
434	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ly.svg
438	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/li.svg
440	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/lt.svg
442	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/lu.svg
446	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mo.svg
450	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mg.svg
454	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mw.svg
458	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/my.svg
462	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mv.svg
466	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ml.svg
470	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mt.svg
474	http://upload.wikimedia.org/wikipedia/commons/5/52/Flag_of_Martinique.svg
478	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mr.svg
480	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mu.svg
484	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mx.svg
492	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mc.svg
496	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mn.svg
498	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/md.svg
499	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/me.svg
500	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ms.svg
504	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/ma.svg
508	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/mz.svg
512	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/om.svg
516	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/na.svg
520	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/nr.svg
524	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/np.svg
528	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/nl.svg
531	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/cw.svg
533	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/aw.svg
534	https://raw.githubusercontent.com/lipis/flag-icon-css/master/flags/4x3/sx.svg
535	http://upload.wikimedia.org/wikipedia/commons/1/1e/Flag_of_Bonaire.svg
